Time,GPS Latitude,GPS Longitude,Temperature, Distance (m)
14:20:59,45.3949165,-75.7611160,32.20,0.0
14:21:00,45.3949165,-75.7611160,32.20,0.0
14:21:01,45.3949165,-75.7611160,32.20,0.0
14:21:02,45.3949165,-75.7611160,32.20,0.0
14:21:03,45.3949165,-75.7611160,32.20,0.0
14:21:04,45.3949165,-75.7611160,32.20,0.0
14:21:05,45.3949165,-75.7611160,32.20,0.0
14:21:06,45.3949165,-75.7611160,32.20,0.0
14:21:07,45.3949165,-75.7611160,32.20,0.0
14:21:08,45.3949165,-75.7611160,32.00,0.0
14:21:09,45.3949165,-75.7611160,32.30,0.0
14:21:10,45.3949165,-75.7611160,32.30,0.0
14:21:11,45.3949165,-75.7611160,32.30,0.0
14:21:12,45.3949165,-75.7611160,32.20,0.0
14:21:13,45.3949165,-75.7611160,32.30,0.0
14:21:14,45.3949165,-75.7611160,32.20,0.0
14:21:15,45.3949165,-75.7611160,32.20,0.0
14:21:16,45.3949165,-75.7611160,32.20,0.0
14:21:17,45.3949165,-75.7611160,32.10,0.0
14:21:18,45.3949165,-75.7611160,32.10,0.0
14:21:19,45.3949165,-75.7611160,32.10,0.0
14:21:20,45.3949165,-75.7611160,32.20,0.0
14:21:21,45.3949165,-75.7611160,32.20,0.0
14:21:22,45.3949165,-75.7611160,32.10,0.0
14:21:23,45.3949165,-75.7611160,32.10,0.0
14:21:24,45.3949165,-75.7611160,32.10,0.0
14:21:25,45.3949165,-75.7611237,32.10,0.601407583499702
14:21:26,45.3949165,-75.7611237,32.10,0.0
14:21:27,45.3949165,-75.7611237,32.10,0.0
14:21:28,45.3949165,-75.7611237,32.10,0.0
14:21:29,45.3949165,-75.7611237,32.10,0.0
14:21:30,45.3949165,-75.7611237,32.10,0.0
14:21:31,45.3949165,-75.7611237,32.10,0.0
14:21:32,45.3949165,-75.7611237,32.10,0.0
14:21:33,45.3949165,-75.7611237,32.10,0.0
14:21:34,45.3949165,-75.7611237,32.00,0.0
14:21:35,45.3949165,-75.7611237,32.00,0.0
14:21:36,45.3949165,-75.7611237,32.00,0.0
14:21:37,45.3949165,-75.7611237,32.00,0.0
14:21:38,45.3949165,-75.7611237,32.00,0.0
14:21:39,45.3949165,-75.7611237,32.00,0.0
14:21:40,45.3949165,-75.7611237,32.00,0.0
14:21:41,45.3949165,-75.7611237,32.00,0.0
14:21:42,45.3949165,-75.7611237,32.00,0.0
14:21:43,45.3949165,-75.7611237,32.00,0.0
14:21:44,45.3949165,-75.7611237,31.90,0.0
14:22:01,45.3949165,-75.7611237,31.80,0.0
14:22:02,45.3949165,-75.7611237,31.80,0.0
14:22:03,45.3949165,-75.7611237,31.80,0.0
14:22:04,45.3949165,-75.7611237,31.80,0.0
14:22:05,45.3949165,-75.7611237,31.80,0.0
14:22:06,45.3949165,-75.7611237,31.80,0.0
14:22:07,45.3949165,-75.7611237,31.80,0.0
14:22:08,45.3949165,-75.7611237,31.80,0.0
14:22:09,45.3949165,-75.7611237,31.80,0.0
14:22:10,45.3949165,-75.7611237,31.80,0.0
14:22:11,45.3949165,-75.7611237,31.80,0.0
14:22:12,45.3949165,-75.7611237,31.80,0.0
14:22:13,45.3949165,-75.7611237,31.80,0.0
14:22:14,45.3949165,-75.7611237,31.80,0.0
14:22:15,45.3949165,-75.7611237,31.80,0.0
14:22:16,45.3949165,-75.7611237,31.80,0.0
14:22:17,45.3949165,-75.7611237,31.80,0.0
14:22:18,45.3949165,-75.7611237,31.80,0.0
14:22:19,45.3949165,-75.7611237,31.80,0.0
14:22:20,45.3949165,-75.7611237,31.80,0.0
14:22:21,45.3949165,-75.7611237,31.80,0.0
14:22:22,45.3949165,-75.7611237,31.80,0.0
14:22:23,45.3949165,-75.7611237,31.80,0.0
14:22:24,45.3949165,-75.7611237,31.80,0.0
14:22:25,45.3949165,-75.7611237,31.80,0.0
14:22:26,45.3949165,-75.7611160,31.80,0.601407583499702
14:22:27,45.3949165,-75.7611160,31.80,0.0
14:22:28,45.3949165,-75.7611160,31.80,0.0
14:22:29,45.3949165,-75.7611160,31.70,0.0
14:22:30,45.3949165,-75.7611160,31.80,0.0
14:22:31,45.3949165,-75.7611160,31.80,0.0
14:22:32,45.3949165,-75.7611160,31.70,0.0
14:22:33,45.3949165,-75.7611160,31.70,0.0
14:22:34,45.3949165,-75.7611160,31.70,0.0
14:22:35,45.3949127,-75.7611084,31.70,0.7286966565372196
14:22:36,45.3949127,-75.7611084,31.70,0.0
14:22:37,45.3949127,-75.7611084,31.70,0.0
14:22:38,45.3949127,-75.7611084,31.70,0.0
14:22:39,45.3949127,-75.7611084,31.70,0.0
14:22:40,45.3949127,-75.7611084,31.70,0.0
14:22:41,45.3949051,-75.7611084,31.70,0.8453195398369813
14:22:42,45.3949013,-75.7611008,31.70,0.7286967542876234
14:22:43,45.3949013,-75.7611008,31.70,0.0
14:22:44,45.3949013,-75.7611008,31.70,0.0
14:22:45,45.3949013,-75.7611008,31.70,0.0
14:22:46,45.3949013,-75.7611008,31.70,0.0
14:22:47,45.3949013,-75.7611008,31.70,0.0
14:22:48,45.3949013,-75.7611008,31.70,0.0
14:22:49,45.3949013,-75.7611008,31.70,0.0
14:22:50,45.3948975,-75.7610931,31.70,0.7350731813832407
14:22:51,45.3948975,-75.7610931,31.70,0.0
14:22:52,45.3948975,-75.7610931,31.70,0.0
14:22:53,45.3948975,-75.7610931,31.70,0.0
14:22:54,45.3948975,-75.7610931,31.70,0.0
14:22:55,45.3948936,-75.7610931,31.70,0.4337823955636841
14:22:56,45.3948936,-75.7610855,31.80,0.593597336405927
14:22:57,45.3948936,-75.7610855,31.80,0.0
14:22:58,45.3948936,-75.7610855,31.80,0.0
14:22:59,45.3948898,-75.7610855,31.80,0.42265976991848975
14:23:00,45.3948898,-75.7610855,31.80,0.0
14:23:01,45.3948898,-75.7610779,31.80,0.5935973752113051
14:23:02,45.3948898,-75.7610779,31.80,0.0
14:23:03,45.3948860,-75.7610779,31.80,0.42265977097977336
14:23:04,45.3948860,-75.7610779,31.80,0.0
14:23:05,45.3948860,-75.7610779,31.80,0.0
14:23:06,45.3948860,-75.7610779,31.80,0.0
14:23:07,45.3948822,-75.7610779,31.80,0.422659770272251
14:23:08,45.3948822,-75.7610703,31.80,0.5935974561518659
14:23:09,45.3948784,-75.7610703,31.80,0.42265976921096743
14:23:10,45.3948784,-75.7610703,31.80,0.0
14:23:11,45.3948784,-75.7610703,31.80,0.0
14:23:12,45.3948784,-75.7610703,31.80,0.0
14:23:13,45.3948746,-75.7610703,31.80,0.4226597699184898
14:23:14,45.3948746,-75.7610703,31.80,0.0
14:23:15,45.3948746,-75.7610703,31.80,0.0
14:23:16,45.3948708,-75.7610703,31.80,0.42265977097977336
14:23:17,45.3948708,-75.7610626,31.80,0.6014080698501463
14:23:18,45.3948708,-75.7610626,31.80,0.0
14:23:19,45.3948669,-75.7610626,31.80,0.43378239627120646
14:23:20,45.3948669,-75.7610626,31.80,0.0
14:23:21,45.3948669,-75.7610626,31.80,0.0
14:23:22,45.3948631,-75.7610550,31.80,0.7286970803288115
14:23:23,45.3948631,-75.7610550,31.80,0.0
14:23:24,45.3948631,-75.7610550,31.80,0.0
14:23:25,45.3948593,-75.7610550,31.80,0.4226597706260122
14:23:26,45.3948593,-75.7610550,31.80,0.0
14:23:27,45.3948593,-75.7610550,31.80,0.0
14:23:28,45.3948555,-75.7610550,31.80,0.422659770272251
14:23:29,45.3948555,-75.7610550,31.80,0.0
14:23:30,45.3948555,-75.7610474,31.80,0.5935977366093671
14:23:31,45.3948555,-75.7610474,31.80,0.0
14:23:32,45.3948517,-75.7610474,31.80,0.42265977097977336
14:23:33,45.3948517,-75.7610474,31.80,0.0
14:23:34,45.3948517,-75.7610474,31.80,0.0
14:23:35,45.3948517,-75.7610397,31.80,0.601408273116849
14:23:36,45.3948479,-75.7610397,31.80,0.4226597695647286
14:23:37,45.3948479,-75.7610397,31.80,0.0
14:23:38,45.3948479,-75.7610397,31.80,0.0
14:23:39,45.3948479,-75.7610321,31.80,0.593597816439943
14:23:40,45.3948479,-75.7610321,31.80,0.0
14:23:41,45.3948479,-75.7610321,31.80,0.0
14:23:42,45.3948479,-75.7610321,31.80,0.0
14:23:43,45.3948479,-75.7610321,31.80,0.0
14:23:44,45.3948441,-75.7610321,31.80,0.42265977027225093
14:24:01,45.3948326,-75.7610245,31.80,1.4101277418028524
14:24:02,45.3948326,-75.7610245,31.80,0.0
14:24:03,45.3948326,-75.7610245,31.80,0.0
14:24:04,45.3948288,-75.7610245,31.80,0.4226597699184898
14:24:05,45.3948288,-75.7610245,31.90,0.0
14:24:06,45.3948288,-75.7610168,31.80,0.6014085179338978
14:24:07,45.3948250,-75.7610168,31.90,0.42265977097977336
14:24:08,45.3948250,-75.7610168,31.80,0.0
14:24:09,45.3948250,-75.7610168,31.80,0.0
14:24:10,45.3948250,-75.7610168,31.80,0.0
14:24:11,45.3948250,-75.7610168,31.80,0.0
14:24:12,45.3948250,-75.7610168,31.80,0.0
